host,visitor,,,,
West Ham United,West Bromwich Albion,,,,
Chelsea,Liverpool,,,,
Everton,Southampton,,,,
Newcastle United,Arsenal,,,,
Tottenham Hotspur,Stoke City,,,,
Arsenal,Burnley,,,,
Crystal Palace,Queens Park Rangers,,,,
Leicester City,West Ham United,,,,
Liverpool,Hull City,,,,
Manchester United,Tottenham Hotspur,,,,
Southampton,Chelsea,,,,
Stoke City,Everton,,,,
Sunderland,Aston Villa,,,,
Swansea City,Manchester City,,,,
West Bromwich Albion,Newcastle United,,,,
Burnley,West Ham United,,,,
Everton,Queens Park Rangers,,,,
Leicester City,Sunderland,,,,
Hull City,Chelsea,,,,
Manchester United,Swansea City,,,,
Southampton,West Bromwich Albion,,,,
Tottenham Hotspur,Crystal Palace,,,,
Newcastle United,Manchester City,,,,
Stoke City,Liverpool,,,,
Aston Villa,Arsenal,,,,
Arsenal,Leicester City,,,,
Crystal Palace,Stoke City,,,,
Liverpool,Aston Villa,,,,
Manchester City,Burnley,,,,
Queens Park Rangers,Hull City,,,,
Sunderland,Southampton,,,,
West Ham United,Newcastle United,,,,
Chelsea,Manchester United,,,,
Swansea City,Tottenham Hotspur,,,,
West Bromwich Albion,Everton,,,,
Crystal Palace,Hull City,,,,
Liverpool,Everton,,,,
Manchester United,Burnley,,,,
Queens Park Rangers,Newcastle United,,,,
Southampton,Arsenal,,,,
Swansea City,Leicester City,,,,
Aston Villa,West Bromwich Albion,,,,
Chelsea,West Ham United,,,,
Sunderland,Stoke City,,,,
Tottenham Hotspur,Manchester City,,,,
Burnley,Queens Park Rangers,,,,
Everton,Aston Villa,,,,
Leicester City,Southampton,,,,
Hull City,Tottenham Hotspur,,,,
Newcastle United,Sunderland,,,,
Stoke City,Manchester United,,,,
West Ham United,Swansea City,,,,
Arsenal,Crystal Palace,,,,
West Bromwich Albion,Liverpool,,,,
Manchester City,Chelsea,,,,
Aston Villa,West Ham United,,,,
Chelsea,Newcastle United,,,,
Crystal Palace,West Bromwich Albion,,,,
Liverpool,Arsenal,,,,
Queens Park Rangers,Manchester City,,,,
Southampton,Stoke City,,,,
Sunderland,Hull City,,,,
Swansea City,Burnley,,,,
Manchester United,Leicester City,,,,
Tottenham Hotspur,Everton,,,,
Burnley,Aston Villa,,,,
Hull City,Southampton,,,,
West Bromwich Albion,Chelsea,,,,
West Ham United,Queens Park Rangers,,,,
Arsenal,Manchester United,,,,
Leicester City,Liverpool,,,,
Newcastle United,Tottenham Hotspur,,,,
Stoke City,Swansea City,,,,
Arsenal,Sunderland,,,,
Burnley,Hull City,,,,
Chelsea,Everton,,,,
Crystal Palace,Manchester United,,,,
Manchester City,Stoke City,,,,
West Bromwich Albion,Leicester City,,,,
West Ham United,Southampton,,,,
Liverpool,Swansea City,,,,
Newcastle United,Aston Villa,,,,
Queens Park Rangers,Tottenham Hotspur,,,,
Everton,West Ham United,,,,
Leicester City,Chelsea,,,,
Hull City,Newcastle United,,,,
Southampton,Liverpool,,,,
Stoke City,Arsenal,,,,
Aston Villa,Queens Park Rangers,,,,
Swansea City,Crystal Palace,,,,
Tottenham Hotspur,Burnley,,,,
Burnley,Leicester City,,,,
Chelsea,Tottenham Hotspur,,,,
Crystal Palace,Southampton,,,,
Queens Park Rangers,Stoke City,,,,
West Bromwich Albion,Manchester United,,,,
Aston Villa,Chelsea,,,,
Everton,Burnley,,,,
Leicester City,Newcastle United,,,,
Hull City,Manchester City,,,,
Southampton,Queens Park Rangers,,,,
Stoke City,West Ham United,,,,
Sunderland,Crystal Palace,,,,
Swansea City,West Bromwich Albion,,,,
Manchester United,Liverpool,,,,
Tottenham Hotspur,Arsenal,,,,
Burnley,Liverpool,,,,
Chelsea,Arsenal,,,,
Everton,Swansea City,,,,
Hull City,West Bromwich Albion,,,,
Manchester City,Leicester City,,,,
Newcastle United,Crystal Palace,,,,
Queens Park Rangers,Sunderland,,,,
West Ham United,Manchester United,,,,
Aston Villa,Stoke City,,,,
Tottenham Hotspur,Southampton,,,,
Arsenal,Swansea City,,,,
Manchester United,Manchester City,,,,
Newcastle United,Everton,,,,
Liverpool,Sunderland,,,,
West Ham United,Hull City,,,,
Arsenal,Manchester City,,,,
Crystal Palace,Chelsea,,,,
Manchester United,Aston Villa,,,,
Southampton,Newcastle United,,,,
Stoke City,Hull City,,,,
Swansea City,Queens Park Rangers,,,,
West Bromwich Albion,Burnley,,,,
Leicester City,Everton,,,,
Liverpool,Tottenham Hotspur,,,,
Sunderland,West Ham United,,,,
Aston Villa,Leicester City,,,,
Burnley,Crystal Palace,,,,
Chelsea,Stoke City,,,,
Hull City,Swansea City,,,,
Manchester City,Southampton,,,,
Newcastle United,Manchester United,,,,
Queens Park Rangers,West Bromwich Albion,,,,
Everton,Arsenal,,,,
West Ham United,Liverpool,,,,
Tottenham Hotspur,Sunderland,,,,
Crystal Palace,Aston Villa,,,,
Leicester City,Queens Park Rangers,,,,
Southampton,Burnley,,,,
Stoke City,Newcastle United,,,,
Sunderland,Everton,,,,
West Bromwich Albion,Tottenham Hotspur,,,,
Liverpool,Manchester City,,,,
Swansea City,Chelsea,,,,
Arsenal,West Ham United,,,,
Everton,Crystal Palace,,,,
Manchester City,Sunderland,,,,
Aston Villa,Southampton,,,,
Burnley,Stoke City,,,,
Chelsea,Sunderland,,,,
Newcastle United,Swansea City,,,,
Tottenham Hotspur,Leicester City,,,,
West Ham United,Crystal Palace,,,,
Everton,Manchester United,,,,
Hull City,Arsenal,,,,
Queens Park Rangers,Liverpool,,,,
Manchester City,West Bromwich Albion,,,,
Leicester City,Hull City,,,,
Manchester United,Queens Park Rangers,,,,
Southampton,Everton,,,,
Stoke City,Tottenham Hotspur,,,,
Swansea City,Aston Villa,,,,
West Bromwich Albion,West Ham United,,,,
Crystal Palace,Manchester City,,,,
Liverpool,Chelsea,,,,
Sunderland,Burnley,,,,
Arsenal,Newcastle United,,,,
Aston Villa,Hull City,,,,
Manchester United,Sunderland,,,,
Newcastle United,Burnley,,,,
Stoke City,Leicester City,,,,
Swansea City,Southampton,,,,
West Ham United,Tottenham Hotspur,,,,
Everton,Manchester City,,,,
Arsenal,West Bromwich Albion,,,,
Chelsea,Queens Park Rangers,,,,
Crystal Palace,Liverpool,,,,
Manchester United,Hull City,,,,
Manchester City,Aston Villa,,,,
Sunderland,West Bromwich Albion,,,,
Burnley,Chelsea,,,,
Leicester City,Crystal Palace,,,,
Hull City,Everton,,,,
Liverpool,Newcastle United,,,,
Manchester City,West Ham United,,,,
Queens Park Rangers,Arsenal,,,,
Southampton,Manchester United,,,,
Sunderland,Swansea City,,,,
Tottenham Hotspur,Aston Villa,,,,
West Bromwich Albion,Stoke City,,,,
